positive_positive_edges,positive_with_positive_neighbor,isolated_positive_count,positive_component_count,positive_cluster_component_count,largest_positive_component,largest_positive_component_ratio,positive_neighbor_ratio,sample_size,positive_count,positive_rate,contact_edges,contact_types,age_groups,seed,sample_index,path,attempts_used,sampling_conditions_met,target_age_groups,workplace_contact_types,max_positive_rate_condition,min_positive_count_condition,nonoverlap_person_count_so_far
190,117,0,3,3,71,0.6068376068376068,1.0,3000,117,0.039,249,1,2;3;4;5,1,1,openabm_sample_outputs/seed_1/samples/company_n3000_sample01_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,3000
194,119,0,3,3,65,0.5462184873949579,1.0,3000,119,0.0396666666666666,243,1,2;3;4;5,1,2,openabm_sample_outputs/seed_1/samples/company_n3000_sample02_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,6000
84,56,0,3,3,24,0.42857142857142855,1.0,3000,56,0.018666666666666668,137,1,2;3;4;5,1,3,openabm_sample_outputs/seed_1/samples/company_n3000_sample03_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,9000
109,80,0,4,4,22,0.275,1.0,3000,80,0.02666666666666667,167,1,2;3;4;5,1,4,openabm_sample_outputs/seed_1/samples/company_n3000_sample04_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,12000
120,82,0,5,5,20,0.24390243902439024,1.0,3000,82,0.027333333333333334,170,1,2;3;4;5,1,5,openabm_sample_outputs/seed_1/samples/company_n3000_sample05_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,15000
87,78,0,6,6,16,0.20512820512820512,1.0,3000,78,0.026,125,1,2;3;4;5,1,6,openabm_sample_outputs/seed_1/samples/company_n3000_sample06_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,18000
132,108,0,8,8,14,0.12962962962962962,1.0,3000,108,0.036,171,1,2;3;4;5,1,7,openabm_sample_outputs/seed_1/samples/company_n3000_sample07_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,21000
75,51,0,4,4,13,0.2549019607843137,1.0,3000,51,0.017,129,1,2;3;4;5,1,8,openabm_sample_outputs/seed_1/samples/company_n3000_sample08_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,24000
84,63,0,6,6,12,0.19047619047619047,1.0,3000,63,0.021,130,1,2;3;4;5,1,9,openabm_sample_outputs/seed_1/samples/company_n3000_sample09_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,27000
104,82,0,8,8,12,0.14634146341463414,1.0,3000,82,0.027333333333333334,158,1,2;3;4;5,1,10,openabm_sample_outputs/seed_1/samples/company_n3000_sample10_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,30000
137,107,0,11,11,11,0.102803738317757,1.0,3000,107,0.035666666666666666,182,1,2;3;4;5,1,11,openabm_sample_outputs/seed_1/samples/company_n3000_sample11_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,33000
97,72,0,8,8,10,0.1388888888888889,1.0,3000,72,0.024,152,1,2;3;4;5,1,12,openabm_sample_outputs/seed_1/samples/company_n3000_sample12_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,36000
79,70,0,8,8,9,0.12857142857142856,1.0,3000,70,0.023333333333333334,137,1,2;3;4;5,1,13,openabm_sample_outputs/seed_1/samples/company_n3000_sample13_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,39000
139,104,0,12,12,9,0.08653846153846154,1.0,3000,104,0.034666666666666665,181,1,2;3;4;5,1,14,openabm_sample_outputs/seed_1/samples/company_n3000_sample14_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,42000
122,95,0,12,12,8,0.08421052631578947,1.0,3000,95,0.03166666666666667,161,1,2;3;4;5,1,15,openabm_sample_outputs/seed_1/samples/company_n3000_sample15_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,45000
65,56,0,7,7,8,0.14285714285714285,1.0,3000,56,0.018666666666666668,108,1,2;3;4;5,1,16,openabm_sample_outputs/seed_1/samples/company_n3000_sample16_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,48000
88,69,0,10,10,8,0.11594202898550725,1.0,3000,69,0.023,130,1,2;3;4;5,1,17,openabm_sample_outputs/seed_1/samples/company_n3000_sample17_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,51000
97,84,0,12,12,7,0.08333333333333333,1.0,3000,84,0.028,134,1,2;3;4;5,1,18,openabm_sample_outputs/seed_1/samples/company_n3000_sample18_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,54000
84,77,0,11,11,7,0.09090909090909091,1.0,3000,77,0.025666666666666667,133,1,2;3;4;5,1,19,openabm_sample_outputs/seed_1/samples/company_n3000_sample19_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,57000
71,66,0,11,11,6,0.09090909090909091,1.0,3000,66,0.022,134,1,2;3;4;5,1,20,openabm_sample_outputs/seed_1/samples/company_n3000_sample20_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,60000
56,59,0,10,10,6,0.1016949152542373,1.0,3000,59,0.019666666666666666,101,1,2;3;4;5,1,21,openabm_sample_outputs/seed_1/samples/company_n3000_sample21_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,63000
119,111,0,19,19,6,0.05405405405405406,1.0,3000,111,0.037,156,1,2;3;4;5,1,22,openabm_sample_outputs/seed_1/samples/company_n3000_sample22_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,66000
106,106,0,20,20,6,0.05660377358490566,1.0,3000,106,0.035333333333333335,154,1,2;3;4;5,1,23,openabm_sample_outputs/seed_1/samples/company_n3000_sample23_maxpos5pct_work,1,True,2;3;4;5,1,0.05,30,69000
