day,person_i,person_j,contact_type,weight
39,17544,926329,1,2.0
39,30342,373244,1,2.0
39,42019,842926,1,2.0
39,58151,548754,1,2.0
39,59341,319890,1,2.0
39,60886,363894,1,2.0
39,63347,922921,1,2.0
39,68063,551515,1,2.0
39,82697,387086,1,2.0
39,92846,963910,1,2.0
39,99182,280493,1,2.0
39,114436,278195,1,2.0
39,118291,552064,1,2.0
39,124117,206615,1,2.0
39,137708,761434,1,2.0
39,156467,395745,1,2.0
39,161599,996727,1,2.0
39,167284,528173,1,2.0
39,169889,173012,1,2.0
39,173854,685419,1,2.0
39,179749,930793,1,2.0
39,181552,810033,1,2.0
39,185460,539725,1,2.0
39,185618,216795,1,2.0
39,187114,930804,1,2.0
39,201225,943465,1,2.0
39,202362,765209,1,2.0
39,202783,522040,1,2.0
39,202783,951832,1,2.0
39,209023,928409,1,2.0
39,218382,625965,1,2.0
39,227220,614727,1,2.0
39,230347,801604,1,2.0
39,230687,456021,1,2.0
39,231362,691683,1,2.0
39,248210,738854,1,2.0
39,251409,826769,1,2.0
39,251536,293664,1,2.0
39,253408,551515,1,2.0
39,259183,520089,1,2.0
39,265489,607283,1,2.0
39,265489,615788,1,2.0
39,277911,296968,1,2.0
39,291453,512050,1,2.0
39,300743,760454,1,2.0
39,314830,633481,1,2.0
39,327695,432911,1,2.0
39,329569,924265,1,2.0
39,330998,869239,1,2.0
39,347300,520413,1,2.0
39,348799,400441,1,2.0
39,351145,767471,1,2.0
39,382545,397530,1,2.0
39,396655,705002,1,2.0
39,398574,994175,1,2.0
39,407553,561301,1,2.0
39,411607,875735,1,2.0
39,447845,817855,1,2.0
39,481651,721264,1,2.0
39,498675,945118,1,2.0
39,524325,828576,1,2.0
39,556915,754642,1,2.0
39,559710,829735,1,2.0
39,559710,993392,1,2.0
39,607501,685586,1,2.0
39,623660,953457,1,2.0
39,627654,696661,1,2.0
39,665723,895289,1,2.0
39,671416,698996,1,2.0
39,680131,775555,1,2.0
39,688085,779471,1,2.0
39,710064,953457,1,2.0
39,725724,886828,1,2.0
39,730589,790180,1,2.0
39,737573,932449,1,2.0
39,746114,967453,1,2.0
39,773938,784673,1,2.0
39,774630,958826,1,2.0
39,775382,777767,1,2.0
39,776859,800067,1,2.0
39,791396,902031,1,2.0
39,817820,957332,1,2.0
39,861610,995958,1,2.0
39,888775,910438,1,2.0
